"ID в Амедиатеке";"ID на Кинопоиске";"Оценка IMDB";"Оценка Кинопоиск"
;409295;7.5;7.769
;3908;6.8;7.661
;1260297;8.1;0
;656559;8.4;7.683
;822709;7.9;7.715
;1161788;8;7.993
;589167;8;7.924
;935920;7.5;6.808
;1011528;8;7.999
;445186;8.2;8.087
;543433;7;7.005
;397185;7.3;7.316
;4536607;7.2;0
;3447;6.1;6.842
;933207;6.4;5.981
;4837641;7.1;7.276
;958573;6.7;6.991
;651858;4.6;4.893
;689066;8;7.849
;818212;7.3;7.186
;582359;8.5;7.998
;1112960;7;6.853
;308625;7.5;8.057
;333;8.6;8.115
;1112192;7;6.793
;160958;7.6;8.191
;804876;8.1;8.072
;1112960;7;6.853
;1309726;5.8;6.038
;355828;8.1;8.146
;1177951;7.1;0
;682255;8.5;8.164
;978854;6.6;6.558
;181535;6.5;7.5
;1253333;7.3;7.394
;1436755;7;6.961
;518075;8.3;8.167
;251568;8.4;8.731
;569674;6.2;6.799
;806668;8.7;0
;796660;9;8.343
;4365771;0;0
;821384;7.3;6.636
;4365767;0;0
;1404368;6.3;6.765
;582476;7.8;7.998
;1410257;6.9;0
;571914;7.7;7.688
;818783;7.5;6.598
;587175;8.3;7.231
;181535;6.5;7.5
;433849;7.5;7.892
;796660;9;8.343
;77381;7.3;7.58
;77044;8.9;9.234
;1311396;8.7;8.041
;811551;7.1;6.738
;1231448;0;0
;909854;8.3;8.366
;4409948;5.7;0
;574688;8.3;8.115
;944184;6.9;5.773
;404900;9.5;8.892
;4295952;6.3;0
;394375;8.3;8.059
;1006633;8.3;7.763
;411924;6.9;7.46
;824461;7.7;7.008
;251568;8.4;8.731
;1112969;7;7.337
;1330386;7.2;7.775
;3479;6.6;6.686
;1115038;7.7;6.633
;1199704;0;5.625
;782994;8.2;7.441
;842766;7.4;7.075
;939002;8.2;7.38
;277535;7.6;8.227
;1056155;7.4;7.206
;1260295;7.4;0
;785315;0;5.65
;1007943;7.1;6.829
;251568;8.4;8.731
;160958;7.6;8.191
;1108660;6.7;5.633
;2000450;5.6;1.595
;1006636;6.9;6.774
;433849;7.5;7.892
;718223;6.9;6.654
;1200059;8.1;7.605
;909854;8.3;8.366
;339;8.4;7.991
;1111930;8.6;7.888
;450255;7;6.711
;160946;6.9;6.728
;577257;7.4;7.088
;681831;8.9;8.648
;662539;7.3;7.629
;308433;7.2;7.919
;77146;3.9;4.094
;4522248;0;8.37
;745939;8.4;7.798
;399920;7.5;7.271
;4699913;7.9;0
;804876;8.1;8.072
;663135;6.9;6.011
;804706;7.7;8.013
;472362;7.4;7.278
;394375;8.3;8.059
;399920;7.5;7.271
;409640;8.1;8.053
;4412194;8.3;8.111
;1010737;7.1;6.577
;4640317;7.3;7.382
;651857;5.6;6.104
;687362;6.9;7.37
;891578;7.8;7.367
;574497;8.6;8.311
;77381;7.3;7.58
;818937;7.3;6.801
;1254206;6.1;6.486
;511363;7.4;7.901
;571914;7.7;7.688
;1209803;6.7;0
;863009;8.3;8.233
;842336;8.5;7.936
;1260296;0;8.33
;428930;8;8.134
;1105981;6;0
;745939;8.4;7.798
;975848;8.2;7.733
;392745;7.5;7.172
;1009681;7.2;7.035
;1220026;7.4;7.442
;463689;6.9;6.169
;891699;6;6.34
;1118044;6.7;6.898
;843006;7.3;7.129
;1209803;6.7;0
;1011528;8;7.999
;716587;8.8;8.366
;1006726;8;7.487
;935920;7.5;6.808
;404900;9.5;8.892
;400027;7.5;7.817
;391889;8.7;7.87
;6379;6.2;7.304
;4707069;7.7;0
;308433;7.2;7.919
;582345;7.7;7.59
;843736;4.9;5.233
;1042181;6.5;6.625
;1148415;6.6;5.362
;737705;7.9;7.493
;929776;7.2;7.857
;1035657;7.6;6.526
;1048563;7.5;6.865
;773928;6.9;7.02
;818823;7.3;6.22
;277535;7.6;8.227
;1007426;8.4;7.933
;979309;7.4;6.991
;1044468;7;7.414
;308625;7.5;8.057
;883805;6.5;5.601
;577257;7.4;7.088
;4716622;8;8.072
;445186;8.2;8.087
;48356;7.5;7.831
;355828;8.1;8.146
;1023927;5.7;5.678
;797840;7.2;7.603
;734349;7;6.943
;1046229;8.1;7.69
;1261953;6.8;0
;1309604;8;7.722
